,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests
is_canceled,1.0,0.29312335576071835,0.016659860232446325,0.008148065395053274,-0.00613007886275798,-0.0017910780782638134,0.024764629045870484,0.06001721283955582,-0.032491089208332935,-0.08479341835709014,0.11013280822284209,-0.05735772316594581,-0.14438099106132654,0.054185824117780675,0.04755659788038999,-0.19549781749449852,-0.2346577739690245
lead_time,0.29312335576071835,1.0,0.04014209975345914,0.1268708127454585,0.0022675527028324237,0.08567113294880394,0.16579936387933364,0.11951869261297535,-0.020915016274890404,-0.12440990799896122,0.08604180192778886,-0.07354816794373444,0.0001488300727777041,0.1700841842637818,-0.06307685251681924,-0.11645057013918576,-0.09571204885480938
arrival_date_year,0.016659860232446325,0.04014209975345914,1.0,-0.5405613307724417,-0.00022101921048310835,0.021497365446213938,0.030883297336403433,0.029635144151772524,-0.013192074662468217,0.0103413168660897,-0.1198220704517885,0.02921805116022924,0.0308723496062332,-0.056496602049327,0.197580088495447,-0.013684410868400212,0.1085314863379896
arrival_date_week_number,0.008148065395053274,0.1268708127454585,-0.5405613307724417,1.0,0.06680925298848656,0.01820765272138665,0.015558297327750274,0.025909057352613698,0.010395480054376226,-0.030130758269571886,0.035500909120664344,-0.020903551674042682,0.005507503474122038,0.022933026652450422,0.07579064299569262,0.0019204228607330284,0.026149363589958306
arrival_date_day_of_month,-0.00613007886275798,0.0022675527028324237,-0.00022101921048310835,0.06680925298848656,1.0,-0.016354299544370565,-0.028173521388299715,-0.0015659790658865125,-0.00023036467553939804,-0.006145020690603596,-0.02701077611969974,-0.0002997867639673294,0.010612855996027152,0.02272753516251912,0.030245194761960578,0.008683466451624941,0.0030621241403246857
stays_in_weekend_nights,-0.0017910780782638134,0.08567113294880394,0.021497365446213938,0.01820765272138665,-0.016354299544370565,1.0,0.4989688184955315,0.0918710201163184,0.018482810453094585,-0.08723937875528567,-0.012774618878822905,-0.04271523495025465,0.06328131589027766,-0.05415111348359235,0.0493419060259593,-0.018553809176170628,0.07267083049399105
stays_in_week_nights,0.024764629045870484,0.16579936387933364,0.030883297336403433,0.015558297327750274,-0.028173521388299715,0.4989688184955315,1.0,0.09297551260391128,0.020190974360632157,-0.09724497214044739,-0.013992430936177299,-0.04874254953327373,0.09620944596835253,-0.002019810099214397,0.06523748026533607,-0.024859422747840414,0.06819178170957099
adults,0.06001721283955582,0.11951869261297535,0.029635144151772524,0.025909057352613698,-0.0015659790658865125,0.0918710201163184,0.09297551260391128,1.0,0.01814564187605585,-0.1464261157396283,-0.00673809613961064,-0.10798317248275179,-0.05167277353143062,-0.008283347421433492,0.23064121552351227,0.014784817202464398,0.12288354569972604
babies,-0.032491089208332935,-0.020915016274890404,-0.013192074662468217,0.010395480054376226,-0.00023036467553939804,0.018482810453094585,0.020190974360632157,0.01814564187605585,1.0,-0.008942634060322332,-0.007500998451213157,-0.006550454279340449,0.0834397814233238,-0.01062054267871867,0.02918569025619876,0.037383355906134896,0.09788879209575428
is_repeated_guest,-0.08479341835709014,-0.12440990799896122,0.0103413168660897,-0.030130758269571886,-0.006145020690603596,-0.08723937875528567,-0.09724497214044739,-0.1464261157396283,-0.008942634060322332,1.0,0.08229323421675043,0.4180559949369085,0.012091787335539152,-0.022234965332392435,-0.13431444666341436,0.07708957299331305,0.013050008618125926
previous_cancellations,0.11013280822284209,0.08604180192778886,-0.1198220704517885,0.035500909120664344,-0.02701077611969974,-0.012774618878822905,-0.013992430936177299,-0.00673809613961064,-0.007500998451213157,0.08229323421675043,1.0,0.15272811485691068,-0.02699266259114278,0.005928940884109622,-0.06564563827526634,-0.018492250381405236,-0.04838411840222119
previous_bookings_not_canceled,-0.05735772316594581,-0.07354816794373444,0.02921805116022924,-0.020903551674042682,-0.0002997867639673294,-0.04271523495025465,-0.04874254953327373,-0.10798317248275179,-0.006550454279340449,0.4180559949369085,0.15272811485691068,1.0,0.011607528854568576,-0.00939697785435367,-0.07214419574746672,0.04765308694330182,0.037823775725826424
booking_changes,-0.14438099106132654,0.0001488300727777041,0.0308723496062332,0.005507503474122038,0.010612855996027152,0.06328131589027766,0.09620944596835253,-0.05167277353143062,0.0834397814233238,0.012091787335539152,-0.02699266259114278,0.011607528854568576,1.0,-0.01163394459403212,0.019617673785324065,0.06562019136714943,0.052833435749307676
days_in_waiting_list,0.054185824117780675,0.1700841842637818,-0.056496602049327,0.022933026652450422,0.02272753516251912,-0.05415111348359235,-0.002019810099214397,-0.008283347421433492,-0.01062054267871867,-0.022234965332392435,0.005928940884109622,-0.00939697785435367,-0.01163394459403212,1.0,-0.04075641204563355,-0.03060004596195985,-0.08272971877007586
adr,0.04755659788038999,-0.06307685251681924,0.197580088495447,0.07579064299569262,0.030245194761960578,0.0493419060259593,0.06523748026533607,0.23064121552351227,0.02918569025619876,-0.13431444666341436,-0.06564563827526634,-0.07214419574746672,0.019617673785324065,-0.04075641204563355,1.0,0.056628091940328196,0.17218526436930726
required_car_parking_spaces,-0.19549781749449852,-0.11645057013918576,-0.013684410868400212,0.0019204228607330284,0.008683466451624941,-0.018553809176170628,-0.024859422747840414,0.014784817202464398,0.037383355906134896,0.07708957299331305,-0.018492250381405236,0.04765308694330182,0.06562019136714943,-0.03060004596195985,0.056628091940328196,1.0,0.08262633831523661
total_of_special_requests,-0.2346577739690245,-0.09571204885480938,0.1085314863379896,0.026149363589958306,0.0030621241403246857,0.07267083049399105,0.06819178170957099,0.12288354569972604,0.09788879209575428,0.013050008618125926,-0.04838411840222119,0.037823775725826424,0.052833435749307676,-0.08272971877007586,0.17218526436930726,0.08262633831523661,1.0
